action,priority,surface,in_use,issue,key,file,current_en,suggested_en,new_en,current_fr,new_fr,current_de,new_de,current_es,new_es,current_ja,new_ja,current_zh-TW,new_zh-TW,current_zh-CN,new_zh-CN,current_pt,new_pt,current_nl,new_nl,current_sv,new_sv,current_it,new_it,current_uk,new_uk,current_ru,new_ru,current_ko,new_ko,current_tr,new_tr,notes
review,P1,language,yes,style-review,Languages,public/locales/{code}/translation.json,Languages,,,Langues,,Sprachen,,Idiomas,,言語,,語言,,语言,,Idiomas,,Talen,,Språk,,Lingue,,Мови,,Языки,,언어,,Diller,,
review,P1,language,yes,style-review,v4.coverage.autoTranslate,public/locales/{code}/translation.json,Auto-translate,,,Traduction automatique,,Automatische Übersetzung,,Traducción automática,,自動翻訳,,自動翻譯,,自动翻译,,Tradução automática,,Automatisch vertalen,,Automatisk översättning,,Traduzione automatica,,Автопереклад,,Автоперевод,,자동 번역,,Otomatik çeviri,,
review,P1,language,yes,style-review,v4.coverage.manageLanguages,public/locales/{code}/translation.json,Manage languages,,,Gérer les langues,,Sprachen verwalten,,Gestionar idiomas,,言語を管理,,管理語言,,管理语言,,Gerir idiomas,,Talen beheren,,Hantera språk,,Gestisci lingue,,Керувати мовами,,Управление языками,,언어 관리,,Dilleri yönet,,
review,P1,language,yes,style-review,v4.coverage.needsImprovement,public/locales/{code}/translation.json,Needs improvement,,,À améliorer,,Verbesserungsbedarf,,Necesita mejoras,,要改善,,待加強,,待完善,,A precisar de melhorias,,Verbetering nodig,,Behöver förbättras,,Da migliorare,,Потребує покращення,,Требует улучшения,,개선 필요,,İyileştirme gerekiyor,,
review,P1,language,yes,style-review,v4.coverage.noTargetLanguages,public/locales/{code}/translation.json,No target languages yet. Add them on the Language page first.,,,Aucune langue cible pour le moment. Ajoutez-en d'abord sur la page Langues.,,Noch keine Zielsprachen. Fügen Sie diese zuerst auf der Sprachseite hinzu.,,Aún no hay idiomas de destino. Añádalos primero en la página de Idiomas.,,対象言語がまだありません。まず言語ページで追加してください。,,尚未設定目標語言，請先至語言頁面新增。,,暂无目标语言，请先在语言页添加。,,Ainda sem idiomas de destino. Adicione-os primeiro na página de Idiomas.,,Nog geen doeltalen. Voeg ze eerst toe op de taalpagina.,,Inga målspråk ännu. Lägg till dem på språksidan först.,,Nessuna lingua di destinazione. Aggiungile prima nella pagina Lingue.,,Цільових мов ще немає. Спочатку додайте їх на сторінці «Мова».,,Целевые языки пока не добавлены. Сначала добавьте их на странице «Язык».,,아직 대상 언어가 없습니다. 먼저 언어 페이지에서 추가해 주세요.,,Henüz hedef dil yok. Önce Dil sayfasından ekleyin.,,
review,P1,language,yes,style-review,v4.coverage.notScanned,public/locales/{code}/translation.json,Not scanned,,,Non analysé,,Nicht gescannt,,No escaneado,,未スキャン,,尚未掃描,,未统计,,Não analisado,,Niet gescand,,Inte skannad,,Non analizzato,,Не проскановано,,Не проверено,,스캔되지 않음,,Taranmadı,,
review,P1,language,yes,style-review,v4.coverage.refreshing,public/locales/{code}/translation.json,Refreshing…,,,Actualisation…,,Wird aktualisiert…,,Actualizando…,,更新中…,,重新整理中…,,刷新中…,,A atualizar…,,Vernieuwen…,,Uppdaterar…,,Aggiornamento…,,Оновлення…,,Обновление…,,새로고침 중…,,Yenileniyor…,,
review,P1,language,yes,style-review,v4.coverage.refreshStats,public/locales/{code}/translation.json,Refresh statistics,,,Actualiser les statistiques,,Statistiken aktualisieren,,Actualizar estadísticas,,統計を更新,,重新整理統計資料,,刷新统计,,Atualizar estatísticas,,Statistieken vernieuwen,,Uppdatera statistik,,Aggiorna statistiche,,Оновити статистику,,Обновить статистику,,통계 새로고침,,İstatistikleri yenile,,
review,P1,language,yes,style-review,v4.coverage.targetLanguages,public/locales/{code}/translation.json,Target languages,,,Langues cibles,,Zielsprachen,,Idiomas de destino,,対象言語,,目標語言,,目标语言,,Idiomas de destino,,Doeltalen,,Målspråk,,Lingue di destinazione,,Цільові мови,,Целевые языки,,대상 언어,,Hedef diller,,
review,P1,language,yes,style-review,v4.coverage.title,public/locales/{code}/translation.json,Language coverage,,,Couverture linguistique,,Sprachabdeckung,,Cobertura de idiomas,,言語カバー率,,語言覆蓋率,,语言覆盖率,,Cobertura de idiomas,,Taaldekking,,Språktäckning,,Copertura linguistica,,Охоплення мов,,Охват языков,,언어 커버리지,,Dil kapsamı,,
review,P1,language,yes,style-review,v4.coverage.viewAll,public/locales/{code}/translation.json,View all {{count}} languages,,,Voir les {{count}} langues,,Alle {{count}} Sprachen anzeigen,,Ver los {{count}} idiomas,,{{count}}件の言語をすべて表示,,查看全部 {{count}} 種語言,,查看全部 {{count}} 种,,Ver todos os {{count}} idiomas,,Alle {{count}} talen bekijken,,Visa alla {{count}} språk,,Visualizza tutte le {{count}} lingue,,Переглянути всі мови ({{count}}),,Показать все языки ({{count}}),,{{count}}개 언어 모두 보기,,{{count}} dilin tümünü görüntüle,,
review,P1,manage,yes,style-review,customLiquid.noMatchingRules,public/locales/{code}/translation.json,No matching rules,,,,,,,,,,,,,没有匹配的规则,,,,,,,,,,,,,,,,,,
review,P1,onboarding,yes,style-review,onboarding.action.createFailed,public/locales/{code}/translation.json,We couldn't create the task. Please try again on the translate page.,,,Impossible de créer la tâche. Réessayez sur la page de traduction.,,Aufgabe konnte nicht erstellt werden. Bitte versuchen Sie es erneut auf der Übersetzungsseite.,,No pudimos crear la tarea. Inténtalo de nuevo en la página de traducción.,,タスクを作成できませんでした。翻訳ページでもう一度お試しください。,,任務建立失敗，請到翻譯頁面重試。,,任务创建失败，请到翻译页面重试。,,Não foi possível criar a tarefa. Tente novamente na página de tradução.,,We konden de taak niet maken. Probeer het opnieuw op de vertaalpagina.,,Vi kunde inte skapa uppgiften. Försök igen på översättningssidan.,,Impossibile creare l’attività. Riprova nella pagina di traduzione.,,Не вдалося створити завдання. Спробуйте ще раз на сторінці перекладу.,,Не удалось создать задачу. Повторите на странице перевода.,,작업을 만들 수 없습니다. 번역 페이지에서 다시 시도하세요.,,Görev oluşturulamadı. Lütfen çeviri sayfasında yeniden deneyin.,,
review,P1,onboarding,yes,style-review,onboarding.action.createInvalid,public/locales/{code}/translation.json,Please add at least one target language and module.,,,Ajoutez au moins une langue cible et un module.,,Bitte fügen Sie mindestens eine Zielsprache und ein Modul hinzu.,,Añade al menos un idioma de destino y un módulo.,,ターゲット言語とモジュールを少なくとも 1 つ追加してください。,,請至少新增一種目標語言與模組。,,请至少添加一种目标语言与模块。,,Adicione pelo menos um idioma de destino e um módulo.,,Voeg ten minste één doeltaal en module toe.,,Lägg till minst ett målspråk och en modul.,,Aggiungi almeno una lingua di destinazione e un modulo.,,Додайте принаймні одну цільову мову та модуль.,,Добавьте хотя бы один целевой язык и модуль.,,대상 언어와 모듈을 하나 이상 추가하세요.,,En az bir hedef dil ve modül ekleyin.,,
review,P1,onboarding,yes,style-review,onboarding.action.createSuccess,public/locales/{code}/translation.json,First translation task created. Redirecting…,,,Première tâche de traduction créée. Redirection…,,Erste Übersetzungsaufgabe erstellt. Weiterleitung…,,Primera tarea de traducción creada. Redirigiendo…,,最初の翻訳タスクを作成しました。リダイレクト中…,,已建立首個翻譯任務，正在跳轉…,,已创建首个翻译任务，正在跳转…,,Primeira tarefa de tradução criada. A redirecionar…,,Eerste vertaaltaak gemaakt. Doorsturen…,,Första översättningsuppgiften skapad. Omdirigerar…,,Prima attività di traduzione creata. Reindirizzamento…,,Перше завдання перекладу створено. Перенаправлення…,,Первая задача перевода создана. Перенаправление…,,첫 번역 작업이 생성되었습니다. 이동 중…,,İlk çeviri görevi oluşturuldu. Yönlendiriliyor…,,
review,P1,onboarding,yes,style-review,onboarding.action.createTask,public/locales/{code}/translation.json,Create my first translation task,,,Créer ma première tâche de traduction,,Meine erste Übersetzungsaufgabe erstellen,,Crear mi primera tarea de traducción,,最初の翻訳タスクを作成,,建立我的首個翻譯任務,,创建我的首个翻译任务,,Criar a minha primeira tarefa de tradução,,Mijn eerste vertaaltaak maken,,Skapa min första översättningsuppgift,,Crea la mia prima attività di traduzione,,Створити перше завдання перекладу,,Создать первую задачу перевода,,첫 번역 작업 만들기,,İlk çeviri görevimi oluştur,,
review,P1,onboarding,yes,style-review,onboarding.action.customize,public/locales/{code}/translation.json,Customize settings,,,Personnaliser les paramètres,,Einstellungen anpassen,,Personalizar ajustes,,設定をカスタマイズ,,自訂設定,,自定义设置,,Personalizar definições,,Instellingen aanpassen,,Anpassa inställningar,,Personalizza le impostazioni,,Налаштувати параметри,,Настроить параметры,,설정 사용자 지정,,Ayarları özelleştir,,
review,P1,onboarding,yes,style-review,onboarding.action.hint,public/locales/{code}/translation.json,You can always change languages and modules later on the translate page.,,,Vous pourrez toujours modifier langues et modules plus tard sur la page de traduction.,,Sprachen und Module können Sie später jederzeit auf der Übersetzungsseite ändern.,,Siempre puedes cambiar idiomas y módulos más tarde en la página de traducción.,,言語とモジュールは後から翻訳ページでいつでも変更できます。,,語言與模組隨時可以在翻譯頁面調整。,,语言与模块随时可以在翻译页面调整。,,Pode sempre alterar idiomas e módulos mais tarde na página de tradução.,,Je kunt talen en modules later altijd wijzigen op de vertaalpagina.,,Du kan alltid ändra språk och moduler senare på översättningssidan.,,Puoi sempre modificare lingue e moduli in seguito nella pagina di traduzione.,,Мови та модулі завжди можна змінити пізніше на сторінці перекладу.,,Языки и модули всегда можно изменить позже на странице перевода.,,언어와 모듈은 나중에 번역 페이지에서 언제든 변경할 수 있습니다.,,Dilleri ve modülleri daha sonra çeviri sayfasından her zaman değiştirebilirsiniz.,,
review,P1,onboarding,yes,style-review,onboarding.action.skip,public/locales/{code}/translation.json,Skip for now,,,Ignorer pour l’instant,,Vorerst überspringen,,Omitir por ahora,,今はスキップ,,暫時跳過,,暂时跳过,,Ignorar por agora,,Voorlopig overslaan,,Hoppa över tills vidare,,Salta per ora,,Поки що пропустити,,Пропустить пока,,지금은 건너뛰기,,Şimdilik atla,,
review,P1,onboarding,yes,style-review,onboarding.cost.credits,public/locales/{code}/translation.json,Estimated credits,,,Crédits estimés,,Geschätzte Credits,,Créditos estimados,,推定クレジット,,預估積分,,预估积分,,Créditos estimados,,Geschatte credits,,Uppskattade krediter,,Crediti stimati,,Орієнтовні кредити,,Оценка кредитов,,예상 크레딧,,Tahmini kredi,,
review,P1,onboarding,yes,style-review,onboarding.cost.minutes,public/locales/{code}/translation.json,about {{count}} min,,,environ {{count}} min,,etwa {{count}} Min.,,unos {{count}} min,,約 {{count}} 分,,約 {{count}} 分鐘,,约 {{count}} 分钟,,cerca de {{count}} min,,ongeveer {{count}} min,,cirka {{count}} min,,circa {{count}} min,,близько {{count}} хв,,около {{count}} мин,,약 {{count}}분,,yaklaşık {{count}} dk,,
review,P1,onboarding,yes,style-review,onboarding.cost.modules,public/locales/{code}/translation.json,Recommended modules,,,Modules recommandés,,Empfohlene Module,,Módulos recomendados,,おすすめモジュール,,推薦模組,,推荐模块,,Módulos recomendados,,Aanbevolen modules,,Rekommenderade moduler,,Moduli consigliati,,Рекомендовані модулі,,Рекомендуемые модули,,추천 모듈,,Önerilen modüller,,
review,P1,onboarding,yes,style-review,onboarding.cost.needMore,public/locales/{code}/translation.json,This may need more credits than you currently have.,,,Cela peut nécessiter plus de crédits que vous n’en avez actuellement.,,"Dies kann mehr Credits erfordern, als Sie derzeit haben.",,Esto puede necesitar más créditos de los que tienes actualmente.,,現在の保有クレジットより多く必要になる可能性があります。,,本次翻譯可能需要比目前更多的積分。,,本次翻译可能需要比当前更多的积分。,,Isto pode precisar de mais créditos do que tem atualmente.,,Dit kan meer credits nodig hebben dan je nu hebt.,,Detta kan kräva fler krediter än du har just nu.,,Potrebbero servire più crediti di quelli attualmente disponibili.,,"Може знадобитися більше кредитів, ніж у вас зараз є.",,"Может потребоваться больше кредитов, чем у вас есть сейчас.",,현재 보유한 크레딧보다 더 많이 필요할 수 있습니다.,,Şu an sahip olduğunuzdan daha fazla kredi gerekebilir.,,
review,P1,onboarding,yes,style-review,onboarding.cost.time,public/locales/{code}/translation.json,Estimated time,,,Durée estimée,,Geschätzte Dauer,,Tiempo estimado,,推定時間,,預估耗時,,预估耗时,,Tempo estimado,,Geschatte tijd,,Uppskattad tid,,Tempo stimato,,Орієнтовний час,,Оценка времени,,예상 소요 시간,,Tahmini süre,,
review,P1,onboarding,yes,style-review,onboarding.cost.title,public/locales/{code}/translation.json,Estimated cost & time,,,Coût et durée estimés,,Geschätzte Kosten & Zeit,,Coste y tiempo estimados,,推定コストと時間,,預估積分與時間,,预估积分与时间,,Custo e tempo estimados,,Geschatte kosten en tijd,,Uppskattad kostnad och tid,,Costo e tempo stimati,,Орієнтовна вартість і час,,Оценка стоимости и времени,,예상 비용 및 시간,,Tahmini maliyet ve süre,,
review,P1,onboarding,yes,style-review,onboarding.cost.unavailable,public/locales/{code}/translation.json,We'll show a precise estimate once your scan finishes.,,,Nous afficherons une estimation précise une fois le scan terminé.,,"Eine genaue Schätzung erscheint, sobald der Scan fertig ist.",,Mostraremos una estimación precisa cuando termine el escaneo.,,スキャン完了後に正確な見積もりを表示します。,,掃描完成後將顯示更精確的預估。,,扫描完成后将显示更精确的预估。,,Mostraremos uma estimativa precisa quando a análise terminar.,,We tonen een precieze schatting zodra de scan klaar is.,,Vi visar en precis uppskattning när skanningen är klar.,,Mostreremo una stima precisa al termine della scansione.,,Точну оцінку покажемо після завершення сканування.,,Точная оценка появится после завершения сканирования.,,스캔이 끝나면 정확한 추정치를 표시합니다.,,Tarama bitince net bir tahmin göstereceğiz.,,
review,P1,onboarding,yes,style-review,onboarding.health.computing,public/locales/{code}/translation.json,We're still calculating your coverage — you can continue.,,,Nous calculons encore votre couverture — vous pouvez continuer.,,Wir berechnen Ihre Abdeckung noch — Sie können fortfahren.,,Aún estamos calculando tu cobertura — puedes continuar.,,カバレッジを計算中です。続行できます。,,覆蓋率仍在計算中——你可以繼續操作。,,覆盖率仍在计算中——你可以继续操作。,,Ainda estamos a calcular a sua cobertura — pode continuar.,,We berekenen je dekking nog — je kunt doorgaan.,,Vi beräknar fortfarande din täckning — du kan fortsätta.,,Stiamo ancora calcolando la copertura — puoi continuare.,,Ми ще обчислюємо покриття — ви можете продовжити.,,Мы ещё считаем покрытие — вы можете продолжить.,,적용 범위를 아직 계산 중입니다. 계속 진행할 수 있습니다.,,Kapsamınızı hâlâ hesaplıyoruz — devam edebilirsiniz.,,
review,P1,onboarding,yes,style-review,onboarding.health.fastHint,public/locales/{code}/translation.json,Scanned {{done}}/{{total}} key modules · {{translated}}/{{items}} items,,,{{done}}/{{total}} modules clés analysés · {{translated}}/{{items}} éléments,,{{done}}/{{total}} Schlüsselmodule gescannt · {{translated}}/{{items}} Elemente,,Escaneados {{done}}/{{total}} módulos clave · {{translated}}/{{items}} elementos,,主要モジュール {{done}}/{{total}} をスキャン · {{translated}}/{{items}} 項目,,已掃描 {{done}}/{{total}} 個核心模組 · {{translated}}/{{items}} 條,,已扫描 {{done}}/{{total}} 个核心模块 · {{translated}}/{{items}} 条,,Analisados {{done}}/{{total}} módulos principais · {{translated}}/{{items}} itens,,{{done}}/{{total}} kernmodules gescand · {{translated}}/{{items}} items,,Skannade {{done}}/{{total}} nyckelmoduler · {{translated}}/{{items}} objekt,,Scansionati {{done}}/{{total}} moduli chiave · {{translated}}/{{items}} elementi,,Проскановано {{done}}/{{total}} ключових модулів · {{translated}}/{{items}} елементів,,Просканировано {{done}}/{{total}} ключевых модулей · {{translated}}/{{items}} элементов,,핵심 모듈 {{done}}/{{total}}개 스캔 · {{translated}}/{{items}}개 항목,,{{done}}/{{total}} temel modül tarandı · {{translated}}/{{items}} öğe,,
review,P1,onboarding,yes,style-review,onboarding.health.fastLocale,public/locales/{code}/translation.json,sample coverage for {{locale}},,,couverture échantillon pour {{locale}},,Beispielabdeckung für {{locale}},,cobertura de muestra para {{locale}},,{{locale}} のサンプルカバレッジ,,{{locale}} 樣本覆蓋率,,{{locale}} 关键覆盖率,,cobertura de amostra para {{locale}},,steekproefdekking voor {{locale}},,exempeltäckning för {{locale}},,copertura campione per {{locale}},,вибіркове покриття для {{locale}},,выборочное покрытие для {{locale}},,{{locale}} 샘플 적용 범위,,{{locale}} için örnek kapsam,,
review,P1,onboarding,yes,style-review,onboarding.health.fullScanPending,public/locales/{code}/translation.json,Full store coverage is still scanning in the background.,,,La couverture complète de la boutique est encore en cours d’analyse en arrière-plan.,,Die vollständige Shop-Abdeckung wird im Hintergrund noch gescannt.,,La cobertura completa de la tienda aún se está escaneando en segundo plano.,,ストア全体のカバレッジはバックグラウンドでスキャン中です。,,全店覆蓋率仍在背景掃描中。,,全店覆盖率仍在后台扫描中。,,A cobertura completa da loja ainda está a ser analisada em segundo plano.,,De volledige winkeldekking wordt nog op de achtergrond gescand.,,Fullständig butikstäckning skannas fortfarande i bakgrunden.,,La copertura completa del negozio è ancora in scansione in background.,,Повне покриття магазину ще сканується у фоні.,,Полное покрытие магазина ещё сканируется в фоне.,,전체 스토어 적용 범위는 아직 백그라운드에서 스캔 중입니다.,,Tam mağaza kapsamı arka planda hâlâ taranıyor.,,
review,P1,onboarding,yes,style-review,onboarding.health.overall,public/locales/{code}/translation.json,overall coverage,,,couverture globale,,Gesamtabdeckung,,cobertura general,,全体のカバレッジ,,整體覆蓋率,,整体覆盖率,,cobertura geral,,totale dekking,,total täckning,,copertura complessiva,,загальне покриття,,общее покрытие,,전체 적용 범위,,genel kapsam,,
review,P1,onboarding,yes,style-review,onboarding.health.partial,public/locales/{code}/translation.json,Your store is partially translated. Product content usually has the largest gap.,,,Votre boutique est partiellement traduite. Le contenu produit a généralement le plus grand écart.,,Ihr Shop ist teilweise übersetzt. Produktinhalte haben meist die größte Lücke.,,Tu tienda está parcialmente traducida. El contenido de producto suele tener el mayor vacío.,,ストアは部分的に翻訳されています。通常、商品コンテンツのギャップが最大です。,,你的店鋪已部分翻譯，通常商品內容的缺口最大。,,你的店铺已部分翻译，通常商品内容的缺口最大。,,A sua loja está parcialmente traduzida. O conteúdo de produto costuma ter a maior lacuna.,,Je winkel is gedeeltelijk vertaald. Productinhoud heeft meestal de grootste kloof.,,Din butik är delvis översatt. Produktinnehåll har oftast det största gapet.,,Il tuo negozio è parzialmente tradotto. I contenuti prodotto di solito hanno il divario maggiore.,,Ваш магазин перекладено частково. Зазвичай найбільший розрив у товарному контенті.,,Магазин переведён частично. Обычно наибольший разрыв — в товарном контенте.,,스토어가 부분적으로 번역되어 있습니다. 보통 상품 콘텐츠의 공백이 가장 큽니다.,,Mağazanız kısmen çevrilmiş. Ürün içeriğinde genellikle en büyük boşluk vardır.,,
review,P1,onboarding,yes,style-review,onboarding.health.partialBadge,public/locales/{code}/translation.json,Key modules,,,Modules clés,,Schlüsselmodule,,Módulos clave,,主要モジュール,,核心模組,,核心模块,,Módulos principais,,Kernmodules,,Nyckelmoduler,,Moduli chiave,,Ключові модулі,,Ключевые модули,,핵심 모듈,,Temel modüller,,
review,P1,onboarding,yes,style-review,onboarding.health.title,public/locales/{code}/translation.json,Translation health,,,Santé de traduction de la boutique,,Übersetzungsgesundheit des Shops,,Salud de traducción de la tienda,,ストアの翻訳ヘルス,,店鋪翻譯健康度,,翻译健康度,,Saúde de tradução da loja,,Vertaalgezondheid van de winkel,,Butikens översättningshälsa,,Stato della traduzione del negozio,,Здоров’я перекладу магазину,,Здоровье перевода магазина,,스토어 번역 상태,,Mağaza çeviri sağlığı,,
review,P1,onboarding,yes,style-review,onboarding.health.topGaps,public/locales/{code}/translation.json,Biggest gaps,,,Écarts les plus importants,,Größte Lücken,,Mayores vacíos,,最大のギャップ,,缺口最大,,缺口最大,,Maiores lacunas,,Grootste hiaten,,Största gapen,,Divari maggiori,,Найбільші прогалини,,Крупнейшие пробелы,,가장 큰 공백,,En büyük boşluklar,,
review,P1,onboarding,yes,style-review,onboarding.languages.empty,public/locales/{code}/translation.json,No target languages are configured yet. Add languages to start translating.,,,Aucune langue cible n’est encore configurée. Ajoutez des langues pour commencer à traduire.,,"Noch keine Zielsprachen konfiguriert. Fügen Sie Sprachen hinzu, um mit dem Übersetzen zu beginnen.",,Aún no hay idiomas de destino configurados. Añade idiomas para empezar a traducir.,,まだターゲット言語が設定されていません。翻訳を始めるには言語を追加してください。,,尚未設定目標語言。請先新增語言再開始翻譯。,,尚未配置目标语言。请先添加语言再开始翻译。,,Ainda não há idiomas de destino configurados. Adicione idiomas para começar a traduzir.,,Er zijn nog geen doeltalen geconfigureerd. Voeg talen toe om te beginnen met vertalen.,,Inga målspråk är konfigurerade ännu. Lägg till språk för att börja översätta.,,Nessuna lingua di destinazione è ancora configurata. Aggiungi lingue per iniziare a tradurre.,,"Цільові мови ще не налаштовано. Додайте мови, щоб почати переклад.",,"Целевые языки ещё не настроены. Добавьте языки, чтобы начать перевод.",,아직 대상 언어가 구성되지 않았습니다. 번역을 시작하려면 언어를 추가하세요.,,Henüz hedef dil yapılandırılmadı. Çeviriye başlamak için dil ekleyin.,,
review,P1,onboarding,yes,style-review,onboarding.languages.title,public/locales/{code}/translation.json,Recommended languages,,,Langues recommandées,,Empfohlene Sprachen,,Idiomas recomendados,,おすすめの言語,,推薦語言,,推荐语言,,Idiomas recomendados,,Aanbevolen talen,,Rekommenderade språk,,Lingue consigliate,,Рекомендовані мови,,Рекомендуемые языки,,추천 언어,,Önerilen diller,,
review,P1,onboarding,yes,style-review,onboarding.pageTitle,public/locales/{code}/translation.json,Get started,,,Premiers pas,,Erste Schritte,,Primeros pasos,,はじめに,,開始使用,,开始使用,,Começar,,Aan de slag,,Kom igång,,Per iniziare,,Початок роботи,,Начало работы,,시작하기,,Başlayın,,
review,P1,onboarding,yes,style-review,onboarding.preparing.coverageProgress,public/locales/{code}/translation.json,{{locale}} · {{done}}/{{total}} · {{module}},,,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,{{locale}} · {{done}}/{{total}} · {{module}},,
review,P1,onboarding,yes,style-review,onboarding.preparing.hint,public/locales/{code}/translation.json,We found {{count}} language(s) to recommend for your store.,,,Nous avons trouvé {{count}} langue(s) à recommander pour votre boutique.,,Wir haben {{count}} Sprache(n) für Ihren Shop empfohlen.,,Encontramos {{count}} idioma(s) recomendados para tu tienda.,,ストアにおすすめの言語を {{count}} 件見つけました。,,已為你的店鋪找到 {{count}} 種推薦語言。,,已为你的店铺找到 {{count}} 种推荐语言。,,Encontrámos {{count}} idioma(s) para recomendar à sua loja.,,We hebben {{count}} taal/talen gevonden om voor je winkel aan te bevelen.,,Vi hittade {{count}} språk att rekommendera för din butik.,,Abbiamo trovato {{count}} lingua/e da consigliare per il tuo negozio.,,Ми знайшли {{count}} мову/мов для рекомендації вашому магазину.,,Мы нашли {{count}} язык(а/ов) для рекомендации вашему магазину.,,스토어에 추천할 언어 {{count}}개를 찾았습니다.,,Mağazanız için önerilecek {{count}} dil bulduk.,,
review,P1,onboarding,yes,style-review,onboarding.preparing.subtitle,public/locales/{code}/translation.json,We are preparing the best translation setup for your store.,,,Nous préparons la meilleure configuration de traduction pour votre boutique.,,Wir bereiten die beste Übersetzungseinrichtung für Ihren Shop vor.,,Estamos preparando la mejor configuración de traducción para tu tienda.,,ストアに最適な翻訳設定を準備しています。,,我們正在為你的店鋪準備最適合的翻譯方案。,,我们正在为你的店铺准备最合适的翻译方案。,,Estamos a preparar a melhor configuração de tradução para a sua loja.,,We bereiden de beste vertaalinstelling voor je winkel voor.,,Vi förbereder den bästa översättningsinställningen för din butik.,,Stiamo preparando la migliore configurazione di traduzione per il tuo negozio.,,Ми готуємо найкраще налаштування перекладу для вашого магазину.,,Мы готовим оптимальную настройку перевода для вашего магазина.,,스토어에 가장 적합한 번역 설정을 준비하고 있습니다.,,Mağazanız için en iyi çeviri kurulumunu hazırlıyoruz.,,
review,P1,onboarding,yes,style-review,onboarding.preparing.welcome,public/locales/{code}/translation.json,Welcome to Ciwi AI translator,,,Bienvenue sur CIWI Translate,,Willkommen bei CIWI Translate,,Bienvenido a CIWI Translate,,CIWI Translate へようこそ,,歡迎使用 CIWI Translate,,欢迎使用 Ciwi AI translator,,Bem-vindo ao CIWI Translate,,Welkom bij CIWI Translate,,Välkommen till CIWI Translate,,Benvenuto in CIWI Translate,,Ласкаво просимо до CIWI Translate,,Добро пожаловать в CIWI Translate,,CIWI Translate에 오신 것을 환영합니다,,CIWI Translate’e hoş geldiniz,,
review,P1,onboarding,yes,style-review,onboarding.recommendation.subtitle,public/locales/{code}/translation.json,We've prepared the next step for you — review and continue.,,,Nous avons préparé l’étape suivante — vérifiez et continuez.,,Wir haben den nächsten Schritt für Sie vorbereitet — prüfen und fortfahren.,,Hemos preparado el siguiente paso — revísalo y continúa.,,次のステップを用意しました。内容を確認して続行してください。,,我們已經幫你想好下一步——確認後即可繼續。,,我们已经帮你想好下一步——确认后即可继续。,,Preparamos o próximo passo — reveja e continue.,,We hebben de volgende stap voor je voorbereid — controleer en ga verder.,,Vi har förberett nästa steg — granska och fortsätt.,,Abbiamo preparato il passo successivo — rivedi e continua.,,Ми підготували наступний крок — перегляньте й продовжуйте.,,Мы подготовили следующий шаг — проверьте и продолжайте.,,다음 단계를 준비했습니다. 확인 후 계속하세요.,,Bir sonraki adımı hazırladık — gözden geçirin ve devam edin.,,
review,P1,onboarding,yes,style-review,onboarding.recommendation.title,public/locales/{code}/translation.json,Your recommended setup,,,Votre configuration recommandée,,Ihre empfohlene Einrichtung,,Tu configuración recomendada,,おすすめの設定,,為你推薦的方案,,为你推荐的方案,,A sua configuração recomendada,,Je aanbevolen instelling,,Din rekommenderade inställning,,La tua configurazione consigliata,,Рекомендоване налаштування,,Рекомендуемая настройка,,추천 설정,,Önerilen kurulumunuz,,
review,P1,other,yes,style-review,{{credits}} credits/month,public/locales/{code}/translation.json,{{credits}} credits/month,,,{{credits}} crédits/mois,,{{credits}} Credits/Monat,,{{credits}} créditos/mes,,{{credits}} クレジット/月,,{{credits}} 積分/月,,{{credits}} 积分/月,,{{credits}} créditos/mês,,{{credits}} credits/maand,,{{credits}} krediter/månad,,{{credits}} crediti/mese,,{{credits}} кредитів/місяць,,{{credits}} кредитов/месяц,,{{credits}} 크레딧/월,,{{credits}} kredi/ay,,
review,P1,other,yes,style-review,/month,public/locales/{code}/translation.json,/month,,,/mois,,/Monat,,/mes,,/月,,/月,,/月,,/mês,,/maand,,/månad,,/mese,,/місяць,,/месяц,,/월,,/ay,,
review,P1,other,yes,style-review,1000 credits,public/locales/{code}/translation.json,1000 credits,,,1000 crédits,,1000 Credits,,1000 créditos,,1000クレジット,,1000積分,,1000积分,,1000 créditos,,1000 studiepunten,,1000 poäng,,1000 crediti,,1000 кредитів,,1000 кредитов,,1000 크레딧,,1000 kredi,,
review,P1,other,yes,style-review,Action,public/locales/{code}/translation.json,Action,,,Action,,Aktion,,Acción,,アクション,,行動,,操作,,Ação,,Actie,,Åtgärd,,Azione,,Дія,,Действие,,행동,,İşlem,,
review,P1,other,yes,style-review,Add,public/locales/{code}/translation.json,Add,,,Ajouter,,Hinzufügen,,Agregar,,追加,,添加,,添加,,Adicionar,,Toevoegen,,Lägg till,,Aggiungi,,Додати,,Добавить,,추가하다,,Ekle,,
